iter	Passed	Remaining
256	2600	7516
257	2607	7499
258	2616	7485
259	2627	7477
260	2633	7456
261	2641	7441
262	2649	7425
263	2657	7409
264	2668	7400
265	2678	7390
266	2685	7371
267	2692	7355
268	2699	7335
269	2707	7319
270	2714	7301
271	2723	7290
272	2731	7273
273	2739	7259
274	2746	7241
275	2753	7223
276	2763	7214
277	2771	7197
278	2779	7182
279	2786	7165
280	2793	7148
281	2805	7144
282	2813	7126
283	2820	7111
284	2828	7095
285	2834	7076
286	2842	7061
287	2848	7042
288	2862	7042
289	2870	7028
290	2877	7010
291	2884	6993
292	2897	6990
293	2906	6979
294	2913	6961
295	2921	6947
296	2927	6929
297	2937	6919
298	2945	6905
299	2958	6902
300	2964	6885
301	2973	6871
302	2979	6854
303	2990	6846
304	2997	6830
305	3005	6816
306	3011	6799
307	3020	6786
308	3027	6769
309	3034	6755
310	3041	6738
311	3049	6725
312	3060	6716
313	3067	6702
314	3074	6685
315	3082	6672
316	3090	6659
317	3099	6646
318	3106	6631
319	3112	6615
320	3120	6600
321	3130	6591
322	3137	6576
323	3147	6567
324	3155	6552
325	3162	6538
326	3168	6522
327	3178	6511
328	3184	6495
329	3191	6480
330	3198	6464
331	3204	6448
332	3213	6436
333	3220	6421
334	3228	6409
335	3235	6393
336	3245	6385
337	3253	6371
338	3261	6359
339	3267	6343
340	3277	6334
341	3292	6334
342	3298	6318
343	3306	6306
344	3366	6391
345	3380	6390
346	3392	6384
347	3399	6368
348	3409	6359
349	3415	6343
350	3427	6336
351	3434	6323
352	3443	6312
353	3450	6297
354	3458	6283
355	3465	6268
356	3477	6263
357	3484	6247
358	3492	6235
359	3500	6223
360	3510	6214
361	3517	6198
362	3535	6203
363	3544	6193
364	3556	6186
365	3564	6174
366	3575	6167
367	3590	6166
368	3606	6167
369	3614	6155
370	3628	6151
371	3639	6144
372	3647	6131
373	3658	6122
374	3669	6115
375	3678	6104
376	3695	6106
377	3707	6100
378	3720	6096
379	3732	6089
380	3741	6078
381	3753	6072
382	3761	6060
383	3773	6053
384	3787	6050
385	3799	6044
386	3807	6031
387	3820	6025
388	3828	6013
389	3841	6007
390	3851	5999
391	3859	5985
392	3870	5978
393	3885	5976
394	3896	5967
395	3903	5953
396	3917	5950
397	3933	5949
398	3939	5934
399	3947	5921
400	3954	5906
401	3963	5895
402	3970	5881
403	3976	5866
404	3988	5859
405	3996	5846
406	4003	5833
407	4011	5820
408	4019	5808
409	4026	5793
410	4033	5780
411	4040	5766
412	4048	5754
413	4055	5740
414	4064	5729
415	4070	5714
416	4079	5704
417	4089	5693
418	4098	5683
419	4105	5669
420	4114	5658
421	4121	5644
422	4129	5633
423	4136	5619
424	4144	5607
425	4151	5593
426	4158	5580
427	4166	5567
428	4172	5553
429	4185	5547
430	4193	5535
431	4199	5522
432	4206	5507
433	4215	5497
434	4223	5486
435	4235	5479
436	4246	5471
437	4260	5466
438	4274	5462
439	4289	5458
440	4297	5447
441	4311	5442
442	4321	5433
443	4334	5427
444	4344	5418
445	4352	5406
446	4366	5402
447	4379	5396
448	4391	5389
449	4400	5377
450	4412	5371
451	4422	5362
452	4432	5352
453	4443	5343
454	4451	5331
455	4463	5324
456	4475	5317
457	4488	5312
458	4497	5301
459	4514	5299
460	4523	5289
461	4530	5276
462	4539	5264
463	4546	5251
464	4554	5240
465	4561	5227
466	4571	5217
467	4581	5207
468	4592	5199
469	4600	5187
470	4609	5176
471	4619	5167
472	4626	5154
473	4632	5140
474	4639	5128
475	4644	5113
476	4650	5099
477	4658	5087
478	4666	5075
479	4678	5067
480	4684	5054
481	4689	5039
482	4694	5024
483	4700	5011
484	4712	5003
485	4720	4992
486	4725	4977
487	4730	4962
488	4737	4950
489	4742	4935
490	4747	4921
491	4754	4908
492	4759	4894
493	4765	4881
494	4773	4870
495	4778	4855
496	4786	4844
497	4791	4829
498	4796	4815
499	4802	4802
500	4807	4788
501	4812	4774
502	4820	4763
503	4825	4749
504	4832	4736
505	4837	4723
506	4843	4709
507	4850	4697
508	4855	4683
509	4860	4669
510	4868	4659
511	4874	4645
512	4880	4633
513	4886	4620
514	4892	4607
515	4899	4595
516	4904	4582
517	4910	4568
518	4917	4557
519	4922	4544
520	4929	4532
521	4938	4521
522	4944	4509
523	4951	4497
524	4958	4486
525	4969	4478
526	4974	4465
527	4981	4453
528	4986	4439
529	4991	4426
530	5000	4416
531	5009	4406
532	5019	4397
533	5027	4387
534	5033	4375
535	5040	4362
536	5048	4352
537	5054	4340
538	5065	4332
539	5075	4323
540	5082	4311
541	5088	4299
542	5098	4290
543	5105	4279
544	5115	4271
545	5122	4259
546	5129	4248
547	5135	4236
548	5144	4226
549	5151	4214
550	5160	4204
551	5166	4192
552	5174	4182
553	5180	4170
554	5187	4159
555	5195	4148
556	5201	4137
557	5211	4127
558	5217	4115
559	5226	4106
560	5232	4094
561	5240	4084
562	5246	4072
563	5256	4063
564	5268	4056
565	5276	4045
566	5282	4034
567	5293	4025
568	5300	4014
569	5311	4007
570	5318	3995
571	5326	3985
572	5332	3973
573	5341	3964
574	5347	3952
575	5359	3945
576	5367	3935
577	5375	3924
578	5380	3912
579	5387	3901
580	5393	3889
581	5398	3877
582	5404	3865
583	5410	3853
584	5415	3841
585	5422	3830
586	5427	3818
587	5432	3806
588	5439	3795
589	5444	3783
590	5449	3771
591	5459	3762
592	5464	3750
593	5472	3740
594	5477	3728
595	5486	3719
596	5491	3707
597	5496	3695
598	5504	3685
599	5509	3673
600	5514	3661
601	5520	3650
602	5526	3638
603	5532	3627
604	5539	3616
605	5546	3605
606	5558	3598
607	5571	3592
608	5578	3581
609	5588	3572
610	5595	3562
611	5604	3553
612	5610	3541
613	5619	3532
614	5624	3521
615	5638	3515
616	5643	3503
617	5650	3492
618	5655	3481
619	5660	3469
620	5669	3459
621	5675	3449
622	5682	3438
623	5687	3427
624	5692	3415
625	5701	3406
626	5707	3395
627	5713	3384
628	5719	3373
629	5724	3362
630	5731	3351
631	5736	3340
632	5741	3328
633	5747	3318
634	5753	3306
635	5758	3295
636	5767	3286
637	5773	3276
638	5782	3266
639	5787	3255
640	5792	3244
641	5799	3233
642	5803	3222
643	5808	3211
644	5817	3201
645	5821	3190
646	5924	3232
647	5941	3227
648	5950	3218
649	5956	3207
650	5967	3198
651	5973	3188
652	5981	3178
653	5988	3168
654	5997	3159
655	6004	3148
656	6014	3139
657	6023	3130
658	6036	3123
659	6042	3112
660	6047	3101
661	6052	3090
662	6058	3079
663	6065	3069
664	6070	3057
665	6076	3047
666	6082	3036
667	6087	3025
668	6093	3014
669	6099	3004
670	6104	2993
671	6111	2982
672	6116	2971
673	6124	2962
674	6133	2953
675	6139	2942
676	6144	2931
677	6149	2920
678	6154	2909
679	6162	2899
680	6167	2888
681	6173	2878
682	6183	2870
683	6194	2861
684	6198	2850
685	6203	2839
686	6209	2829
687	6214	2818
688	6226	2810
689	6238	2802
690	6245	2792
691	6259	2786
692	6268	2776
693	6277	2767
694	6282	2757
695	6290	2747
696	6295	2736
697	6300	2726
698	6307	2716
699	6312	2705
700	6317	2694
701	6332	2687
702	6343	2679
703	6348	2669
704	6354	2659
705	6360	2648
706	6366	2638
707	6374	2628
708	6380	2618
709	6386	2608
710	6392	2598
711	6397	2587
712	6403	2577
713	6408	2567
714	6413	2556
715	6420	2546
716	6433	2539
717	6443	2530
718	6448	2520
719	6456	2510
720	6461	2500
721	6471	2491
722	6476	2481
723	6481	2470
724	6488	2461
725	6493	2450
726	6498	2440
727	6507	2431
728	6512	2420
729	6520	2411
730	6525	2401
731	6532	2391
732	6540	2382
733	6550	2373
734	6555	2363
735	6560	2353
736	6567	2343
737	6573	2333
738	6579	2323
739	6586	2314
740	6591	2303
741	6597	2294
742	6604	2284
743	6609	2274
744	6616	2264
745	6622	2254
746	6627	2244
747	6636	2235
748	6642	2226
749	6649	2216
750	6654	2206
751	6659	2196
752	6668	2187
753	6672	2177
754	6679	2167
755	6685	2157
756	6689	2147
757	6696	2137
758	6701	2127
759	6706	2117
760	6713	2108
761	6719	2098
762	6724	2088
763	6735	2080
764	6740	2070
765	6746	2060
766	6751	2051
767	6756	2041
768	6764	2032
769	6770	2022
770	6775	2012
771	6783	2003
772	6788	1993
773	6795	1984
774	6800	1974
775	6805	1964
776	6815	1955
777	6820	1946
778	6829	1937
779	6842	1929
780	6848	1920
781	6854	1910
782	6864	1902
783	6871	1893
784	6880	1884
785	6886	1874
786	6894	1866
787	6900	1856
788	6907	1847
789	6915	1838
790	6922	1828
791	6936	1821
792	6948	1813
793	6955	1804
794	6965	1796
795	6973	1787
796	6980	1777
797	6986	1768
798	6994	1759
799	7000	1750
800	7008	1741
801	7016	1732
802	7024	1723
803	7030	1713
804	7039	1705
805	7045	1695
806	7050	1686
807	7057	1676
808	7062	1667
809	7067	1657
810	7074	1648
811	7079	1639
812	7085	1629
813	7091	1620
814	7096	1610
815	7101	1601
816	7109	1592
817	7114	1583
818	7123	1574
819	7129	1565
820	7134	1555
821	7141	1546
822	7146	1536
823	7152	1527
824	7160	1518
825	7166	1509
826	7173	1500
827	7178	1491
828	7183	1481
829	7190	1472
830	7195	1463
831	7201	1454
832	7207	1444
833	7212	1435
834	7220	1426
835	7228	1417
836	7234	1408
837	7240	1399
838	7245	1390
839	7253	1381
840	7258	1372
841	7263	1363
842	7270	1354
843	7275	1344
844	7281	1335
845	7287	1326
846	7292	1317
847	7297	1308
848	7304	1299
849	7310	1290
850	7317	1281
851	7325	1272
852	7330	1263
853	7338	1254
854	7343	1245
855	7351	1236
856	7356	1227
857	7362	1218
858	7369	1209
859	7374	1200
860	7380	1191
861	7385	1182
862	7390	1173
863	7396	1164
864	7402	1155
865	7407	1146
866	7414	1137
867	7422	1128
868	7428	1119
869	7436	1111
870	7441	1102
871	7450	1093
872	7456	1084
873	7461	1075
874	7468	1066
875	7473	1057
876	7479	1049
877	7485	1040
878	7490	1031
879	7496	1022
880	7502	1013
881	7507	1004
882	7516	996
883	7533	988
884	7538	979
885	7545	970
886	7552	962
887	7557	953
888	7564	944
889	7569	935
890	7576	926
891	7582	918
892	7587	909
893	7593	900
894	7600	891
895	7605	882
896	7611	874
897	7617	865
898	7622	856
899	7631	847
900	7637	839
901	7644	830
902	7650	821
903	7655	812
904	7661	804
905	7666	795
906	7671	786
907	7679	778
908	7684	769
909	7689	760
910	7697	751
911	7707	743
912	7713	735
913	7718	726
914	7725	717
915	7740	709
916	7750	701
917	7760	693
918	7765	684
919	7770	675
920	7778	667
921	7783	658
922	7789	649
923	7802	641
924	7811	633
925	7816	624
926	7825	616
927	7832	607
928	7839	599
929	7851	590
930	7861	582
931	7866	573
932	7872	565
933	7878	556
934	7883	548
935	7889	539
936	7900	531
937	7909	522
938	7914	514
939	7922	505
940	7929	497
941	7936	488
942	7944	480
943	7956	471
944	7961	463
945	7966	454
946	7973	446
947	7978	437
948	7983	429
949	7994	420
950	8005	412
951	8014	404
952	8021	395
953	8028	387
954	8033	378
955	8041	370
956	8046	361
957	8054	353
958	8059	344
959	8064	336
960	8070	327
961	8076	319
962	8081	310
963	8088	302
964	8093	293
965	8099	285
966	8106	276
967	8111	268
968	8119	259
969	8126	251
970	8133	242
971	8138	234
972	8143	225
973	8150	217
974	8156	209
975	8161	200
976	8168	192
977	8173	183
978	8178	175
979	8187	167
980	8193	158
981	8200	150
982	8206	141
983	8211	133
984	8221	125
985	8226	116
986	8233	108
987	8238	100
988	8243	91
989	8249	83
990	8255	74
991	8260	66
992	8267	58
993	8272	49
994	8278	41
995	8285	33
996	8290	24
997	8296	16
998	8302	8
999	8307	0
